666;1000;2000;3000;4000;5000;6000
0.377;0.341;0.306;0.289;0.273;0.225;0.23
0.328;0.31;0.264;0.226;0.218;0.193;0.18
0.243;0.223;0.202;0.172;0.143;0.128;0.109
0.22;0.203;0.161;0.128;0.108;0.094;0.058
